"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAMTS2",80.7507467043972,3.82308892852423,0.619786648185682,6.16839510776112,6.89865890805608e-10,3.3208419318655e-06
"APOBEC3B",525.917985468704,1.01326306258753,0.270000902466306,3.75281361407293,0.000174860867297581,0.0333360990080686
"AXL",48.6227221694265,1.40476617009957,0.325244066102914,4.31911391015225,1.56656912978057e-05,0.00538648010605803
"CCL2",170.724456692379,2.31937409288703,0.44583904235911,5.20226779739681,1.96871260887366e-07,0.000222985654610955
"CCL8",29.7919603769723,2.5584950747176,0.653541111641095,3.91481886777254,9.04721008899567e-05,0.0207385750313823
"CMPK2",1948.6710436628,1.46869846343274,0.320223336071514,4.58648167697792,4.50777944168568e-06,0.002225571619222
"EMP1",139.692141637535,1.45312289968216,0.330749834069143,4.39341989020738,1.11581317896308e-05,0.00413172745402579
"EPSTI1",1170.81141957701,1.34577210206001,0.293856652578945,4.57968907713758,4.65667656762463e-06,0.00224160768274031
"ETV7",159.006422644272,2.02596185194603,0.409811066512499,4.94364846998157,7.66739070632257e-07,0.000567829261731696
"FAM69A",69.9143336389205,1.03308566732262,0.275660204636651,3.74767793807721,0.000178479217122752,0.0336211471720188
"GBP1",1137.09517726167,1.04548725776882,0.263055990836259,3.97439060195968,7.05596846068408e-05,0.0174182913731374
"GBP1P1",127.174904529237,1.03991843796915,0.267067416361933,3.89384243175453,9.8668753490498e-05,0.0218375499822935
"GMPR",196.08728997558,1.99781347952201,0.423300199414179,4.71961383974509,2.36292779866938e-06,0.00137873256858724
"HELZ2",195.31408897332,1.02948406925093,0.209306231551255,4.9185543192909,8.71857243238638e-07,0.000621763378465185
"HERC5",611.4014486626,1.38763010459779,0.318721720022803,4.35373561769969,1.33837102305661e-05,0.00486232717904812
"HESX1",23.2388105467969,2.02399500408328,0.560026717941624,3.614104361882,0.000301387653968122,0.0471806445297252
"IFI27",1743.22556364842,7.19920952010996,0.715080236674341,10.067694715759,7.6756038937183e-24,1.47793752973546e-19
"IFI44",1557.28366290573,1.38555090633515,0.301168193394592,4.6005884310625,4.21299115831277e-06,0.00213476696719243
"IFI44L",3345.63314208556,2.4340764806223,0.403841925091413,6.02730011271447,1.66721249247125e-09,5.35036275708898e-06
"IFI6",8220.0741224831,1.82113043006109,0.334082593725513,5.45113832406773,5.00484218603397e-08,8.52453710504299e-05
"IFIT1",1425.69221745984,1.69523916030404,0.378672494128845,4.47679508437501,7.5771913199199e-06,0.00324219597477906
"IFIT1B",20.8236854308539,2.16883093182675,0.430146121818349,5.04207947443184,4.60499944456405e-07,0.00040304211047764
"IFIT2",3499.86777970833,1.12810712180516,0.308075915384988,3.66178290956439,0.00025046606485383,0.0407467314560822
"IFIT3",2987.52244660742,1.7376361455877,0.361317532568619,4.80916642277162,1.51560986658476e-06,0.000941389289712567
"IFITM1",2882.06543394658,2.03080316243117,0.335692752875557,6.04958893224602,1.45215885220897e-09,5.35036275708898e-06
