"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABTB2",36.8115829999463,1.80737475658963,0.53732308891986,3.36366479285835,0.000769149013954691,0.0167153643977555
"AC005150.1",11.52275685523,1.15579885871621,0.248584531538065,4.64952043300902,3.32707722688181e-06,0.000165082843077641
"AC005306.3",7.44179912754787,1.37526644249348,0.442054442407557,3.11107933901395,0.00186404849145597,0.0321453249553946
"AC007919.18",5.59674239909676,1.59427918333584,0.309988599496652,5.14302521423229,2.70349321862645e-07,1.72026312009429e-05
"AC159540.1",12.5788540303904,1.29926629035518,0.404664407941136,3.21072539333426,0.00132400391371525,0.0249863302690877
"ADARB1",34.8044865242482,1.19732177732844,0.372990335084335,3.21006113216773,0.00132706745571536,0.0250227578327883
"AGRN",14.4218693804912,2.47514529482169,0.411544200869797,6.01428786893481,1.80679191264422e-09,1.72701149052746e-07
"ANKRD22",203.431431192111,2.30157579897963,0.32029111684104,7.1858870819758,6.67722136612046e-13,9.10080541752715e-11
"ANO7P1",7.55778180555444,1.5074095646248,0.441830938796577,3.41173383812949,0.000645511088840045,0.0148005034699773
"AP001610.5",3.76446220728543,2.28845677937612,0.570838924401232,4.00893611411756,6.09929130953013e-05,0.00214861871050611
"APOBEC3A",5954.42466533968,2.06875551018497,0.19750591720683,10.474397625356,1.13256325886136e-25,3.47319399384151e-23
"APOBEC3B",607.533641644102,2.17961125197853,0.196696575974995,11.0810838530083,1.54984918657423e-28,5.80011356602697e-26
"APOL6",1007.36538356472,1.14816412849409,0.120795111722579,9.50505456819312,1.9994315626085e-21,5.19381751792889e-19
"ARID5B",182.741024617217,1.07314528006152,0.291176694995991,3.68554660624985,0.000228212313080026,0.00641084971095036
"ATP10A",88.6088597786112,2.06476079039842,0.296711507002964,6.95881602723885,3.43144262789124e-12,4.50989602522848e-10
"AXL",58.355310180921,2.10860394970875,0.292228721152631,7.21559448842615,5.3698858057716e-13,7.4570489680149e-11
"BATF2",101.453681955184,2.12033843897644,0.292716972892443,7.24364705614641,4.36777168546193e-13,6.17912330506201e-11
"BHLHB9",11.0240698799556,1.05340000679534,0.323089968809057,3.26039217707154,0.00111258259924761,0.0220915681577224
"BISPR",537.307362351983,1.18586315794365,0.100900503800642,11.7527971940226,6.83192405043577e-32,3.07854863333922e-29
"BLNK",35.0856171820814,1.66372042123057,0.447112404755949,3.72103391347124,0.000198408788299573,0.00571168975965395
"C19orf66",529.833009549857,1.02197554703886,0.0796419363339902,12.8321283243674,1.08346358625635e-37,7.036139995453e-35
"C2",77.1601206675029,1.53787451356585,0.199767387958519,7.69832618467825,1.37860093362453e-14,2.25477841588367e-12
"CAPN3",9.15609373383136,1.23329246607427,0.419279771618945,2.94145472678593,0.00326674591257586,0.0497789853344893
"CARD17",11.8095475812684,1.44060794117885,0.440410876443423,3.27105441357989,0.00107147292050457,0.0214294584100914
"CCL2",217.532616585621,2.86032976461779,0.35074428676372,8.15502881318394,3.49096640892444e-16,6.26671043163021e-14
"CCL8",38.3758269357621,2.87420387025006,0.569324280359313,5.0484477290097,4.45414300686341e-07,2.71678114893768e-05
"CD2AP",229.380285361007,1.2414278555695,0.160115311244101,7.75333630446436,8.95091525375671e-15,1.47489708061902e-12
"CD38",187.740001078019,1.47438908986574,0.204921094433775,7.19491126054972,6.25014012673288e-13,8.57162074523366e-11
"CDHR5",10.1373605049971,1.41429227967614,0.459878596239527,3.07536008685978,0.00210248547644734,0.0355730876014997
"CLU",473.760497453012,2.2160646459098,0.405513124512323,5.46484074609146,4.63322571506121e-08,3.45613593880242e-06
"CMPK2",2351.06549657754,2.87060255699044,0.219337874205848,13.0875826502102,3.87752939150915e-39,2.85386163215074e-36
"CTA-384D8.35",37.3928274417837,1.17398353119273,0.223946933406791,5.24223981696696,1.58638997523954e-07,1.05187659619487e-05
"CTA-384D8.36",75.4564891619367,1.35935517452046,0.178261925600854,7.62560580414792,2.42890999229536e-14,3.83073804499154e-12
"CTD-2095E4.5",69.2743386100903,1.44989631362357,0.225163765067048,6.43929680777823,1.20028281070651e-10,1.32511222301999e-08
"CTSL",492.707121714174,1.24338165726958,0.123962386829412,10.0303139449923,1.12159411467713e-23,3.1347845635533e-21
"CTSL3P",4.76948942778673,1.25274028424643,0.248313495494126,5.04499476258253,4.53533791062329e-07,2.75868487786673e-05
"CUL1",1477.13359912234,1.22915960443391,0.102121543544702,12.036241930635,2.29159278120226e-33,1.14996292293059e-30
"CXCL10",571.671120158446,1.97879882135096,0.249082682345427,7.94434523796708,1.95219187407114e-15,3.31572281380698e-13
"CXCL11",23.816424861334,2.55572348449583,0.613094262880433,4.16856532385177,3.06522916167123e-05,0.00118737298052107
