"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sftpc",0,16.352113899763,0.345,0,0
"Sftpb",0,14.8581250590894,0.379,0,0
"Sparc",0,14.6236598054523,0.345,0,0
"Cldn18",0,14.5708431070089,0.552,0,0
"Sftpd",0,14.1211594649232,0.293,0,0
"Atp1b1",0,13.7756628988974,0.621,0,0
"Klf5",0,13.7061219656443,0.31,0,0
"Gja1",0,13.7061219656443,0.293,0,0
"Timp3",0,13.6516741816219,0.241,0,0
"Gprc5a",0,13.536196964202,0.379,0,0
"Lurap1l",0,13.4106660821181,0.19,0,0
"Clu",0,13.3087864680989,0.155,0,0
"Nkx2-1",0,13.2731625583682,0.224,0,0
"Krt18",0,13.1991619769244,0.172,0,0
"Aqp5",0,13.0386973047312,0.207,0,0
"Bmp4",0,13.0386973047312,0.19,0,0
"Bex4",0,12.9512344634808,0.224,0,0
"Krt8",0,12.9054307738677,0.259,0,0
"Clic5",0,12.8581250590894,0.259,0,0
"Lamc2",0,12.8581250590894,0.19,0,0
"Krt7",0,12.8581250590894,0.172,0,0
"Mal2",0,12.8092154586084,0.293,0,0
"Ccn1",0,12.5757253283886,0.31,0,0
"Sftpa1",0,12.536196964202,0.379,0,0
"Amotl2",0,12.536196964202,0.19,0,0
"Cxcl15",0,12.536196964202,0.19,0,0
"Adgrf5",0,12.4106660821181,0.207,0,0
"Thbs1",0,12.2731625583682,0.224,0,0
"Irx2",0,11.9512344634808,0.362,0,0
"Ppic",0,11.9512344634808,0.241,0,0
"Hspb8",0,11.9512344634808,0.19,0,0
"Edn1",0,11.8898339188167,0.207,0,0
"Ptprf",0,11.8581250590894,0.207,0,0
"Clip4",0,11.8581250590894,0.19,0,0
"Ager",0,11.7061219656443,0.224,0,0
"Sec14l3",0,11.6516741816219,0.19,0,0
"Wfdc2",0,11.536196964202,0.276,0,0
"Ndnf",0,11.1606878291098,0.328,0,0
"Spry2",0,11.0667116809008,0.172,0,0
"Ly6c1",0,11.0101281525344,0.259,0,0
"Phldb2",0,10.9512344634808,0.207,0,0
"Mal",0,10.688200057647,0.259,0,0
"Slc6a14",0,10.536196964202,0.293,0,0
"S100a14",0,10.4658076363106,0.155,0,0
"Sprr1a",0,10.3048714180955,0.172,0,0
"Sdc1",0,10.2731625583682,0.293,0,0
"Hes1",0,10.2731625583682,0.155,0,0
"Syn3",0,10.2313423826736,0.207,0,0
"S100g",0,10.1736268848173,0.19,0,0
"Scgb1a1",1.16057121822964e-28,10.1390882410443,0.328,0.042,2.70529150969328e-24
"Sdc4",0,9.95123446348084,0.224,0,0
"Col4a1",0,9.78773573119796,0.293,0,0
"Cgn",0,9.62930636859348,0.241,0,0
"Nedd4",0,9.62930636859348,0.224,0,0
"Prss23",0,9.536196964202,0.155,0,0
"Vegfa",0,9.4658076363106,0.362,0,0
"Hspb1",0,9.32974608673457,0.207,0,0
"Sh3d19",0,9.05814966739736,0.172,0,0
"Lmo7",0,8.96405850383842,0.586,0.004,0
"F3",0,8.95123446348084,0.569,0.005,0
"Cdcp1",0,8.95123446348084,0.207,0.001,0
"Emp2",0,8.83224642726375,0.707,0.008,0
"Ces1d",0,8.77066221783902,0.207,0.001,0
"Plekhb1",0,8.36627196275969,0.19,0.001,0
"Efemp1",0,8.32974608673457,0.207,0.001,0
"Tspan15",0,8.24074108067583,0.172,0.001,0
"Cavin1",0,8.21426886931464,0.155,0,0
"Cyp2f2",4.20969298317682e-64,8.17244869362001,0.241,0.011,9.81279434378518e-60
"Tspan8",0,8.10323755692589,0.155,0.001,0
"Scgb3a1",2.43973341444294e-26,7.97107927487771,0.155,0.011,5.68701858906649e-22
"Gramd2",0,7.95123446348084,0.172,0.001,0
"Igfbp7",0,7.91646904532017,0.5,0.006,0
"Cd55",0,7.82570358139698,0.172,0.001,0
"Cbr2",6.74362755806832e-196,7.54787876924963,0.31,0.006,1.57193958378573e-191
"Ccnd1",0,7.54184352734314,0.552,0.005,0
"Slc12a2",0,7.536196964202,0.466,0.005,0
"Tmem176a",0,6.96677531437662,0.552,0.007,0
"Il18r1",1.42701597761883e-232,6.82785204797556,0.293,0.004,3.3263742438295e-228
"Tmem176b",0,6.82607933215855,0.569,0.009,0
"Bpifa1",0.00620263319740943,6.68427517596889,0.155,0.071,1
"Cadm1",0,6.44137341800041,0.517,0.008,0
"Tpm1",2.19823553679068e-169,6.43735506082117,0.638,0.029,5.12408703625907e-165
"Cystm1",2.5613742127374e-272,6.36165533468932,0.672,0.019,5.97056328989087e-268
"Col4a2",4.45074480551014e-212,6.05961062452563,0.414,0.009,1.03746861416441e-207
"Serpinb6b",1.21420414642447e-136,5.91561055375012,0.224,0.004,2.83030986531544e-132
"Epb41l5",1.50848941367017e-193,5.89957234365835,0.345,0.007,3.51628882326517e-189
"Scnn1a",8.46452356590118e-136,5.87594633617661,0.31,0.008,1.97308044321156e-131
"Prnp",2.32719391018682e-231,5.72884204214439,0.5,0.012,5.42468900464548e-227
"Sox4",2.02067020873797e-85,5.72150006680323,0.224,0.007,4.71018225656821e-81
"Areg",7.71036586482964e-56,5.66759485331785,0.259,0.014,1.79728628309179e-51
"Tacstd2",7.182895409656e-97,5.53942086507629,0.293,0.01,1.67433291999081e-92
"Slco3a1",6.62160250195186e-128,5.5280230327563,0.293,0.008,1.54349554320498e-123
"Erbb3",5.82125812637482e-105,5.52299746644714,0.241,0.006,1.35693526925797e-100
"AA986860",6.41262519673824e-76,5.49180284484355,0.224,0.008,1.49478293335968e-71
