Intrinsic apoptosis,Pro-apoptotic,Prosurvival,Necroptotic,Pore forming,Death receptor,Caspases,Pyroptotic,IFN-Inducible,Genes of interest,Inflammatory pathways,Cytokines
Bcl2l2,Bad,Mcl1,Ripk1,Bax,Fas,Casp1,Nlrp3,Adar,Gata3,Jak1,Kit
Apaf1,Pmaip1,Bcl2l1,Ripk3,Bak1,Cflar,Casp2,Pycard,Apobec3,Stat6,Jak2,Tslp
Bnip2,Bid,Bcl2,Mlkl,Gsdmc,Diablo,Casp3,Mefv,Apol6,Tbx21,Jak3,Tnf
Bcl2l11,Bcl2l11,Bcl2l2,Zbp1,Gsdmd,Birc2,Casp4,Gsdmd,Atf3,Foxp3,Tyk2,Il1a
Bcl2a1a,Bmf,,,Gsdme,Birc3,Rel,Il18bp,Batf2,,Stat1,Il1b
Bcl2a1d,Bbc3,,,Ninj1,Birc5,Casp6,Il18,Bcl2l13,,Stat2,Il1bos
Tnfaip1,Hrk,,,,Xiap,Casp7,Il1b,Bst2,,Stat3,Il2
Mcl1,,,,,Sharpin,Casp8,Nek7,Btf3,,Stat4,Il4
Bak1,,,,,Tnfrsf1a,Casp9,,Shfl,,Stat5a,Il4i1
Bid,,,,,Tnfsf10,,,Casp1,,Stat5b,Il5
Bcl2l13,,,,,Xaf1,,,Casp4,,Stat6,Il6st
Bbc3,,,,,Casp8,,,Casp7,,,Il7
Bnip3,,,,,Birc3,,,Ccl8,,,Il10
,,,,,Tnfaip3,,,Cd38,,,Il11
,,,,,Tradd,,,Ceacam1,,,Il12a
,,,,,,,,Cfh,,,Il12b
,,,,,,,,Chmp5,,,Il13
,,,,,,,,Cmpk2,,,Il15
,,,,,,,,Cnp,,,Il16
,,,,,,,,Cxcl10,,,Il17a
,,,,,,,,Cxcl11,,,Il17b
,,,,,,,,Ddx58,,,Il17c
,,,,,,,,Ddx60,,,Il17d
,,,,,,,,Dhx58,,,Il17f
,,,,,,,,Dtx3l,,,Il18bp
,,,,,,,,Ehd4,,,Il18
,,,,,,,,Eif2ak2,,,Il19
,,,,,,,,Epsti1,,,Il21
,,,,,,,,Tent5a,,,Il22
,,,,,,,,Fbxo6,,,Il23a
,,,,,,,,Gbp3,,,Il24
,,,,,,,,Gbp4,,,Il25
,,,,,,,,Gch1,,,Il27
,,,,,,,,Gmpr,,,Il31
,,,,,,,,Helz2,,,Il33
,,,,,,,,Hectd1,,,Il34
,,,,,,,,Hectd2,,,
,,,,,,,,Hsh2d,,,
,,,,,,,,Ido1,,,
,,,,,,,,Ifi27,,,
,,,,,,,,Ifi35,,,
,,,,,,,,Ifi44,,,
,,,,,,,,Ifi44l,,,
,,,,,,,,Ifih1,,,
,,,,,,,,Ifit1,,,
,,,,,,,,Ifit2,,,
